0	 8231	 0	 0	 0.000438	 0.500000
0	 8229	 0	 0	 0.000361	 0.200000
0	 8259	 0	 0	 0.000038	 0.600000
100	 8280	 0	 0	 0.000548	 0.600000
200	 8271	 0	 0	 0.000334	 0.400000
200	 8240	 0	 0	 0.000262	 0.500000
200	 8275	 0	 0	 0.000496	 0.800000
300	 8261	 0	 0	 0.000185	 0.400000
400	 8253	 0	 0	 0.000424	 0.400000
400	 8251	 0	 0	 0.000031	 0.700000
500	 8246	 0	 0	 0.000093	 0.500000
500	 8306	 0	 0	 0.000035	 0.400000
600	 8296	 0	 0	 0.000462	 0.500000
700	 8321	 0	 0	 0.000182	 0.700000
800	 8279	 0	 0	 0.000310	 0.500000
1000	 8324	 0	 0	 0.000146	 0.100000
1000	 8263	 0	 0	 0.000243	 0.800000
1100	 8341	 0	 0	 0.000512	 0.700000
1100	 8374	 0	 0	 0.000148	 0.500000
1300	 8330	 0	 0	 0.000110	 0.600000
1300	 8356	 0	 0	 0.000243	 0.400000
1400	 8351	 0	 0	 0.000467	 0.500000
1400	 8350	 0	 0	 0.000065	 0.200000
1500	 8403	 0	 0	 0.000402	 0.700000
1700	 8414	 0	 0	 0.000280	 0.400000
1700	 8355	 0	 0	 0.000183	 0.700000
1800	 8376	 0	 0	 0.000290	 0.600000
2000	 8385	 0	 0	 0.000059	 0.700000
2100	 8412	 0	 0	 0.000219	 0.600000
2100	 8469	 0	 0	 0.000204	 0.600000
2200	 8428	 0	 0	 0.000460	 0.700000
2200	 8431	 0	 0	 0.000018	 0.400000
2400	 8415	 0	 0	 0.000122	 0.800000
2400	 8473	 0	 0	 0.000003	 0.200000
2400	 8412	 0	 0	 0.000439	 0.700000
2800	 8472	 0	 0	 0.000425	 0.700000
2800	 8439	 0	 0	 0.000546	 0.800000
2900	 8520	 0	 0	 0.000271	 0.200000
3000	 8481	 0	 0	 0.000227	 0.600000
3300	 8574	 0	 0	 0.000056	 0.600000
3400	 8570	 0	 0	 0.000548	 0.400000
3500	 8589	 0	 0	 0.000224	 0.400000
3600	 8639	 0	 0	 0.000234	 0.800000
3900	 8612	 0	 0	 0.000513	 0.700000
4000	 8607	 0	 0	 0.000327	 0.400000
4000	 8603	 0	 0	 0.000257	 0.600000
4000	 8634	 0	 0	 0.000090	 0.600000
4200	 8277	 1	 0	 0.000012	 0.700000
4300	 8238	 1	 0	 0.000113	 0.100000
4300	 8271	 1	 0	 0.000380	 0.800000
4400	 8261	 1	 0	 0.000106	 0.500000
4600	 8274	 1	 0	 0.000525	 0.300000
4700	 8262	 1	 0	 0.000013	 0.500000
4900	 8273	 1	 0	 0.000183	 0.700000
5000	 8332	 1	 0	 0.000274	 0.800000
5000	 8330	 1	 0	 0.000004	 0.500000
5000	 8326	 1	 0	 0.000147	 0.600000
5100	 8292	 1	 0	 0.000283	 0.500000
5100	 8321	 1	 0	 0.000172	 0.500000
5300	 8363	 1	 0	 0.000455	 0.400000
5400	 8357	 1	 0	 0.000155	 0.800000
5500	 8348	 1	 0	 0.000143	 0.600000
5600	 8367	 1	 0	 0.000479	 0.200000
5700	 8358	 1	 0	 0.000057	 0.300000
5900	 8373	 1	 0	 0.000364	 0.700000
5900	 8430	 1	 0	 0.000142	 0.500000
6000	 8393	 1	 0	 0.000440	 0.400000
6100	 8383	 1	 0	 0.000045	 0.400000
6100	 8385	 1	 0	 0.000470	 0.600000
6200	 8463	 1	 0	 0.000051	 0.600000
6400	 8450	 1	 0	 0.000337	 0.300000
6500	 8411	 1	 0	 0.000269	 0.700000
6700	 8511	 1	 0	 0.000232	 0.500000
6700	 8481	 1	 0	 0.000165	 0.200000
6800	 8472	 1	 0	 0.000241	 0.500000
6900	 8527	 1	 0	 0.000203	 0.600000
6900	 8463	 1	 0	 0.000263	 0.600000
7100	 8536	 1	 0	 0.000301	 0.600000
