10286
0	640	740	0	
1	1300	20	120	
2	1180	0	0	
3	120	100	80	
4	0	1300	80	
5	100	640	0	
6	160	1200	120	
7	1040	900	40	
8	1340	220	40	
9	280	1020	200	
10	400	280	160	
11	300	220	20	
12	1040	1300	200	
13	1320	460	0	
14	880	160	20	
15	300	380	0	
16	1000	260	40	
17	220	900	120	
18	1160	1020	100	
19	240	1380	60	
20	120	280	20	
21	660	360	20	
22	1260	960	120	
23	1060	800	120	
24	1300	1200	140	
25	900	860	140	
26	820	560	40	
27	1260	960	0	
28	900	0	160	
29	1040	440	100	
30	520	160	160	
31	1040	180	120	
32	380	820	140	
33	740	780	20	
34	1260	500	120	
35	40	220	80	
36	880	1380	140	
37	160	20	200	
38	860	1400	200	
39	1000	60	160	
40	660	640	0	
41	1240	1200	120	
42	940	1400	0	
43	1340	180	20	
44	460	840	140	
45	340	1020	0	
46	680	180	120	
47	860	80	0	
48	300	1220	180	
49	1380	560	160	
50	140	580	200	
51	640	500	60	
52	500	280	200	
53	420	0	20	
54	720	780	100	
55	940	1380	20	
56	1300	600	100	
57	1140	1400	40	
58	240	1180	20	
59	0	500	20	
60	260	1360	20	
61	320	1380	60	
62	160	980	40	
63	580	1360	160	
64	220	640	140	
65	840	600	100	
66	980	300	0	
67	1160	460	200	
68	1180	840	40	
69	800	420	140	
70	260	820	180	
71	640	1240	60	
72	640	200	40	
73	840	1000	20	
74	880	1020	140	
75	1060	80	0	
76	1020	760	40	
77	1120	1340	60	
78	100	180	20	
79	1400	1200	200	
80	180	720	140	
81	1280	880	120	
82	520	180	0	
83	780	1200	20	
84	320	320	180	
85	1080	1400	200	
86	380	800	200	
87	560	80	160	
88	340	1000	120	
89	620	1020	100	
90	1240	140	140	
91	900	700	160	
92	520	1360	0	
93	1080	260	0	
94	740	1120	100	
95	1020	900	60	
96	400	960	140	
97	1240	1340	100	
98	1360	780	100	
99	1220	200	40	
100	240	180	160	
101	1220	80	100	
102	380	1320	100	
103	340	1080	0	
104	600	1120	200	
105	1140	440	140	
106	1360	1100	160	
107	320	720	160	
108	160	960	20	
109	940	1340	20	
110	1080	280	140	
111	580	1240	200	
112	560	580	20	
113	400	820	120	
114	940	40	140	
115	860	620	200	
116	1060	960	0	
117	380	0	60	
118	1260	1320	140	
119	660	1400	80	
120	200	1180	0	
121	0	40	0	
122	140	60	140	
123	1060	640	0	
124	720	240	20	
125	140	1340	180	
126	540	260	60	
127	880	940	0	
128	100	1380	160	
129	940	960	0	
130	280	1320	160	
131	880	1120	40	
132	740	120	200	
133	1300	740	100	
134	640	1160	20	
135	340	920	40	
136	1320	500	80	
137	820	600	120	
138	20	560	20	
139	1100	540	140	
140	680	920	120	
141	1240	1360	20	
142	1340	520	180	
143	320	1180	180	
144	580	880	40	
145	840	300	160	
146	940	940	0	
147	640	1300	80	
148	1120	880	140	
149	1060	380	120	
150	900	700	80	
151	600	760	180	
152	340	1260	200	
153	1220	580	120	
154	1300	940	40	
155	300	660	60	
156	520	1020	160	
157	420	880	20	
158	1060	540	80	
159	360	140	40	
160	1220	640	200	
161	1200	1140	100	
162	880	620	180	
163	260	120	200	
164	120	1400	20	
165	1100	1120	180	
166	80	1140	120	
167	1200	0	60	
168	240	480	80	
169	840	380	0	
170	860	340	40	
171	100	1000	20	
172	420	1160	80	
173	520	920	60	
174	680	680	0	
175	520	1220	40	
176	280	720	160	
177	320	40	0	
178	560	200	160	
179	1220	220	0	
180	560	380	200	
181	420	240	20	
182	1020	1200	0	
183	720	380	200	
184	1000	80	180	
185	260	300	180	
186	1240	40	0	
187	660	780	160	
188	1220	800	200	
189	340	900	140	
190	1240	1080	120	
191	0	1160	40	
192	1140	480	20	
193	840	300	80	
194	700	1320	80	
195	420	460	140	
196	460	1320	120	
197	860	620	180	
198	1220	80	160	
199	40	760	100	
200	580	300	40	
201	1220	980	180	
202	380	1400	60	
203	1080	1260	80	
204	1000	860	60	
205	180	1320	0	
206	620	780	0	
207	1280	320	120	
208	280	1340	20	
209	20	800	140	
210	760	860	0	
211	1280	300	80	
212	520	800	100	
213	500	80	180	
214	1000	1080	200	
215	200	1300	60	
216	1100	1380	200	
217	400	500	40	
218	500	100	200	
219	440	440	0	
220	180	220	140	
221	1000	40	0	
222	1340	280	100	
223	360	680	180	
224	1000	420	100	
225	500	560	200	
226	1100	1140	0	
227	1100	140	160	
228	960	940	200	
229	1380	1120	200	
230	280	120	0	
231	200	260	120	
232	400	0	120	
233	720	820	200	
234	640	300	200	
235	1320	440	200	
236	1080	780	200	
237	160	1040	20	
238	440	720	0	
239	1140	460	100	
240	880	1180	140	
241	1160	1060	40	
242	1080	420	60	
243	600	1040	80	
244	500	760	20	
245	1280	1360	180	
246	480	740	140	
247	1340	240	0	
248	1280	580	20	
249	280	1100	180	
250	1140	100	40	
251	400	960	40	
252	240	1180	160	
253	1340	1080	140	
254	880	0	60	
255	0	160	100	
256	900	60	160	
257	1140	1360	180	
258	200	400	120	
259	520	1400	140	
260	20	560	120	
261	1380	1180	40	
262	380	680	120	
263	1140	980	80	
264	1040	600	20	
265	80	120	120	
266	140	580	180	
267	360	720	0	
268	100	140	20	
269	460	300	140	
270	440	80	40	
271	620	640	140	
272	1100	540	100	
273	1100	300	160	
274	380	1060	160	
275	380	540	180	
276	940	500	200	
277	1300	220	100	
278	1140	940	0	
279	20	1180	40	
280	1100	60	160	
281	1320	100	40	
282	260	840	200	
283	620	420	160	
284	80	100	120	
285	1380	180	120	
286	660	1280	120	
287	80	360	80	
288	1200	400	200	
289	600	360	140	
290	320	240	100	
291	220	860	180	
292	1180	1240	180	
293	1100	620	180	
294	800	560	160	
295	1260	720	40	
296	520	240	100	
297	520	340	0	
298	1380	380	0	
299	340	720	40	
300	620	0	80	
301	1060	1200	40	
302	340	620	40	
303	460	1360	0	
304	440	1220	0	
305	60	360	0	
306	980	60	20	
307	760	400	120	
308	700	20	80	
309	900	420	120	
310	1380	1300	100	
